Vehicle Make,Vehicle Model,Year,Top Speed ,Type of Vehicle,Country 
Volkswagen,Passat SW GTE (B8),2015,225,Super Sedan,Germany
Mazda,323 GT-R (BG),1992,224,Hot Hatch,Japan
Abarth,Abarth 124 GT '2018,2018,224,Sports Car,Italy
BMW,3.0 CSL (E9),1971,220,Sports Car,Germany
BMW,3.0 CSi (E9),1972,220,Sports Car,Germany
BMW,3.0 CSL (E9),1974,220,Sports Car,Germany
Dodge,Omni GLHS,1986,218,Hot Hatch ,United States 
Porsche,356/B Carrera GTL Abarth,1960,217,Sports Car,Germany
SHelby,Cobra 289 Dragon Snake,1963,217,Sports Car,United States 
Chrysler,TC 205 by Maserati,1988,217,Sports Car,United States 
Cupra,Terramar,2024,215,Super S.U.V.,Spain
Toyota,2000GT,1967,210,Sports Car,Japan
Mitsubishi,Colt Ralliart Version-R,2006,210,Hot Hatch,Japan
Cadillac,GT4 28T,2023,210,S.U.V.,United States 
Karma Automotive,Revero GTS,2019,209,Super Sedan,United States 
Chrysler,PT Cruiser GT,2003,208,Hot Hatch ,United States 
Cadillac,GT4 25T,2023,205,S.U.V.,United States 
Talbot,Sunbeam Lotus,1979,204,Hot Hatch,United Kingdom
Karma Automotive,Revero GT,2019,201,Super Sedan,United States 
Jaguar,XK 120 SE Roadster,1953,200,Sports Car,United Kingdom
Suzuki,Kizashi 2.4 VVT 180,2009,200,Sedan,Japan
FIsker,Karma,2011,200,Super Sedan,United States 
Karma Automotive,Revero,2016,200,Super Sedan,United States 
Geely,Azkarra 1.5 TD,2019,200,S.U.V.,China
Jaguar,XK 120 Roadster,1948,196,Sports Car,United Kingdom
Volkswagen,Up! GTI,2017,196,Hot Hatch ,Germany
Facel Vega,Facel 6,1964,195,Sports Car,France
Alfa Romeo,147 1.6 TwinSpark 120 (937),2004,195,Supermini,Italy
Dodge,Dart GT,2013,190,Sedan,United States 
Kia,Rio 1.0 T-GDI 120 MHEV,2017,190,Supermini,South Korea
RAM,1500 TRX Crew Cab,2020,190,Sports Pick-up,United States 
Vanwall,Vandervell S,2023,185,Hot Hatch ,United Kingdom
Honda,City Turbo II (AA),1983,180,Hot Hatch,Japan
Toyota,Prius PHEV,2023,180,Sedan,Japan
Cupra,Tavascan,2024,180,Super S.U.V.,Spain
Suzuki,Swift 1.3,2003,175,Supermini,Japan
Renault,Clio E-Tech 145 Hybrid,2022,175,Supermini,France
VInFast,VF7 75.3 kWh 355,2022,175,S.U.V.,Vietnam
Renault,Clio E-Tech 145 Full-Hybrid,2023,174,Supermini,France
Renault,8 Gordini 1300,1966,170,Super Sedan,France
Renault,Clio 1.5 dCi 75,2010,164,Supermini,France
Renault,8 Gordini 1100,1964,160,Super Sedan,France
Ineos,Grenadier Station Wagon 3.0,2022,159,4x4,United Kingdom
Suzuki,X90,1996,156,4x4,Japan
Renault,Kwid 1.0 SCe 70,2015,135,C.U.V.,France
Hindustan,Ambassador,2006,105,Sedan,India
Tata,Nano,2007,105,Microcar,India
Citroën,Ami,2020,45,Microcar,France
Mercedes-Benz,Patent-Motorwagen,1886,16,Microcar,Germany
